epoch,train_acc,val_acc
1,56.2962962962963,56.25
2,60.74074074074074,56.25
3,62.96296296296296,62.5
4,54.074074074074076,50.0
5,57.03703703703704,50.0
6,61.48148148148148,50.0
7,60.74074074074074,56.25
8,64.44444444444444,56.25
9,62.96296296296296,50.0
10,54.81481481481482,56.25
11,59.25925925925926,37.5
12,59.25925925925926,50.0
13,53.333333333333336,50.0
14,57.03703703703704,50.0
15,52.592592592592595,43.75
16,59.25925925925926,50.0
17,61.48148148148148,50.0
18,68.14814814814815,62.5
19,66.66666666666667,62.5
20,60.74074074074074,50.0
21,57.77777777777778,50.0
22,59.25925925925926,62.5
23,55.55555555555556,50.0
24,52.592592592592595,50.0
25,62.22222222222222,62.5
26,58.51851851851852,62.5
27,56.2962962962963,56.25
28,60.74074074074074,50.0
29,60.0,50.0
30,62.22222222222222,50.0
